Subject,Start Date,All Day Event,Description
オリエンテーション,03/31/2021,True,
春学期開始,04/01/2021,True,
オリエンテーション,04/01/2021,True,
入学式,04/02/2021,True,
オリエンテーション,04/03/2021,True,
オリエンテーション,04/05/2021,True,
春セメスター授業開始,04/06/2021,True,
統一補講日①,04/24/2021,True,
祝日授業日（昭和の日）,04/29/2021,True,
休日（憲法記念日）,05/03/2021,True,
休日（みどりの日）,05/04/2021,True,
休日（こどもの日）,05/05/2021,True,
統一補講日②,05/22/2021,True,
授業日（月曜日分）,06/05/2021,True,
統一補講日③,06/19/2021,True,
統一補講日④,07/10/2021,True,
春セメスター授業終了,07/21/2021,True,
祝日統一補講日⑤（海の日）,07/22/2021,True,
レポート試験統一締切日,07/22/2021,True,
春セメスター定期試験開始（スポーツの日）,07/23/2021,True,
定期試験日,07/24/2021,True,
春セメスター定期試験終了,07/31/2021,True,
定期試験予備日・夏期休暇開始,08/02/2021,True,
追試験日,08/04/2021,True,
追試験日,08/05/2021,True,
追試験予備日,08/06/2021,True,
追試験予備日,08/07/2021,True,
再試験（薬学部のみ）開始,08/17/2021,True,
再試験（薬学部のみ）終了,08/20/2021,True,
再試験予備日（薬学部のみ）,08/21/2021,True,
夏集中講義（第1週）開始,08/23/2021,True,
夏集中講義（第1週）終了,08/28/2021,True,
夏集中講義（第2週）開始,08/30/2021,True,
春学期卒業合否発表日・成績発表日,09/03/2021,True,
夏集中講義（第2週）終了,09/04/2021,True,
夏集中科目（Ⅰ・Ⅱ・Ⅲ）成績発表日,09/17/2021,True,
オリエンテーション,09/22/2021,True,
秋季卒業式（秋分の日）,09/23/2021,True,
秋季入学式,09/25/2021,True,
夏期休暇終了,09/25/2021,True,
春学期終了,09/25/2021,True,
秋学期開始,09/26/2021,True,
秋セメスター授業開始,09/27/2021,True,
統一補講日①,10/16/2021,True,
祝日授業日（文化の日）,11/03/2021,True,
統一補講日②,11/06/2021,True,
祝日授業日（勤労感謝の日）,11/23/2021,True,
統一補講日③,11/27/2021,True,
統一補講日④,12/18/2021,True,
冬期休暇開始,12/25/2021,True,
冬期休暇終了,01/05/2022,True,
秋セメスター授業再開,01/06/2022,True,
授業日（月曜日分） *1,01/08/2022,True,
休日（成人の日）,01/10/2022,True,
秋セメスター授業終了,01/19/2022,True,
統一補講日⑤,01/20/2022,True,
レポート試験統一締切日,01/20/2022,True,
秋セメスター定期試験開始,01/21/2022,True,
定期試験日,01/22/2022,True,
秋セメスター定期試験終了,01/29/2022,True,
定期試験予備日・春期休暇開始,01/31/2022,True,
追試験日,02/02/2022,True,
追試験日,02/03/2022,True,
追試験予備日,02/04/2022,True,
追試験予備日,02/05/2022,True,
卒業合否発表日（薬学部薬学科のみ）,02/14/2022,True,
再試験（薬学部のみ）開始,02/15/2022,True,
再試験（薬学部のみ）終了,02/18/2022,True,
再試験予備日（薬学部のみ）,02/19/2022,True,
秋学期卒業合否発表日・成績発表日,03/04/2022,True,
冬集中科目成績発表日,03/18/2022,True,
卒業式（衣笠）,03/20/2022,True,
卒業式（OIC）（春分の日）,03/21/2022,True,
卒業式（BKC）,03/22/2022,True,
春期休暇終了,03/31/2022,True,
秋学期終了,03/31/2022,True,